Fecha,Ventas,Precio_Unitario,Promo,dia_semana,mes
2023-09-19,1999087294,15865772.17,0.0,1,9
2023-09-20,333828547,15896597.45,1.0,2,9
2023-09-21,2174886310,15646664.1,1.0,3,9
2023-09-22,2009197610,15820453.62,0.0,4,9
2023-09-23,1840458915,15730418.08,1.0,5,9
2023-09-24,0,15847002.86,0.0,6,9
2023-09-25,1963521281,15963587.65,0.0,0,9
2023-09-26,287872519,16933677.59,0.0,1,9
2023-09-27,228013268,16286661.98,0.0,2,9
2023-09-28,1963797007,15710376.06,1.0,3,9
2023-09-29,4685521400,15776166.33,1.0,4,9
2023-09-30,346508468,18237287.76,0.0,5,9
2023-10-01,0,17620509.4,0.0,6,10
2023-10-02,170037310,17003731.04,0.0,0,10
2023-10-03,159007862,15900786.21,0.0,1,10
2023-10-04,65257562,16314390.52,0.0,2,10
2023-10-05,303329536,15964712.41,0.0,3,10
2023-10-06,18382412,18382412.08,0.0,4,10
2023-10-07,1785399647,15799996.87,0.0,5,10
2023-10-08,0,15794658.0,0.0,6,10
2023-10-09,1626299870,15789319.13,0.0,0,10
2023-10-10,372611491,16936885.97,0.0,1,10
2023-10-11,174816739,17481673.88,0.0,2,10
2023-10-12,2581809739,15742742.31,1.0,3,10
2023-10-13,1719182374,15772315.35,1.0,4,10
2023-10-14,1350207887,15700091.71,1.0,5,10
2023-10-15,0,15828319.43,0.0,6,10
2023-10-16,0,15956547.15,0.0,0,10
2023-10-17,386034597,16084774.86,0.0,1,10
2023-10-18,1353439321,15922815.55,0.0,2,10
2023-10-19,1340261648,16147730.69,0.0,3,10
2023-10-20,1834204951,15812111.65,0.0,4,10
2023-10-21,18382412,18382412.08,0.0,5,10
2023-10-22,0,17190837.76,0.0,6,10
2023-10-23,2239896881,15999263.44,0.0,0,10
2023-10-24,2187694785,15968575.07,0.0,1,10
2023-10-25,3253686897,15794596.59,0.0,2,10
2023-10-26,2703317483,15995961.44,0.0,3,10
2023-10-27,2637708075,15794659.13,0.0,4,10
2023-10-28,1958102406,15919531.75,0.0,5,10
2023-10-29,0,15945260.44,0.0,6,10
2023-10-30,2363706390,15970989.12,0.0,0,10
2023-10-31,1321879235,16120478.48,0.0,1,10
2023-11-01,1237136315,15659953.35,1.0,2,11
2023-11-02,223074515,15933893.96,0.0,3,11
2023-11-03,46875150,15625050.0,1.0,4,11
2023-11-04,68014924,17003731.04,0.0,5,11
2023-11-05,0,16553432.16,0.0,6,11
2023-11-06,0,16103133.27,0.0,0,11
2023-11-07,1659200445,15652834.39,1.0,1,11
2023-11-08,2646899280,15662125.92,1.0,2,11
2023-11-09,2181256991,15921583.87,0.0,3,11
2023-11-10,2444504968,15770999.79,1.0,4,11
2023-11-11,0,15920025.56,0.0,5,11
2023-11-12,0,16069051.32,0.0,6,11
2023-11-13,0,16218077.08,0.0,0,11
2023-11-14,900190656,16367102.84,0.0,1,11
2023-11-15,1652578822,15890180.98,0.0,2,11
2023-11-16,610479899,16499456.73,0.0,3,11
2023-11-17,275736181,18382412.08,0.0,4,11
2023-11-18,183824121,18382412.08,0.0,5,11
2023-11-19,0,17066398.38,0.0,6,11
2023-11-20,1732542314,15750384.68,1.0,0,11
2023-11-21,435663162,16135672.66,0.0,1,11
2023-11-22,509267825,16427994.36,0.0,2,11
2023-11-23,1496328326,15918386.45,0.0,3,11
2023-11-24,1081069639,15898082.92,0.0,4,11
2023-11-25,2214349273,15704604.78,1.0,5,11
2023-11-26,0,15823629.48,0.0,6,11
2023-11-27,701476784,15942654.18,0.0,0,11
2023-11-28,324449571,17076293.2,0.0,1,11
2023-11-29,2070966464,16054003.6,0.0,2,11
2023-11-30,4623084672,15886888.91,0.0,3,11
2023-12-01,1892293365,15769111.38,0.0,4,12
2023-12-02,55147236,18382412.08,0.0,5,12
2023-12-03,0,17022245.66,0.0,6,12
2023-12-04,2411960203,15662079.24,1.0,0,12
2023-12-05,849438691,15730346.13,1.0,1,12
2023-12-06,393383615,15735344.59,1.0,2,12
2023-12-07,18382412,18382412.08,0.0,3,12
2023-12-08,0,17750516.62,0.0,4,12
2023-12-09,0,17118621.16,0.0,5,12
2023-12-10,0,16486725.69,0.0,6,12
2023-12-11,380515926,15854830.23,0.0,0,12
2023-12-12,78125250,15625050.0,1.0,1,12
2023-12-13,750002400,15625050.0,1.0,2,12
2023-12-14,1259778265,15747228.31,1.0,3,12
2023-12-15,1010573091,16040842.72,0.0,4,12
2023-12-16,18382412,18382412.08,0.0,5,12
2023-12-17,0,17215835.84,0.0,6,12
2023-12-18,625921124,16049259.59,0.0,0,12
2023-12-19,167279948,16727994.83,0.0,1,12
2023-12-20,417464576,16698583.05,0.0,2,12
2023-12-21,2419164879,15708862.85,1.0,3,12
2023-12-22,55147236,18382412.08,0.0,4,12
2023-12-23,36764824,18382412.08,0.0,5,12
2023-12-24,0,17830939.73,0.0,6,12
2023-12-25,0,17279467.37,0.0,0,12
2023-12-26,250919925,16727995.01,0.0,1,12
2023-12-27,875042285,15909859.73,0.0,2,12
2023-12-28,120404798,17200685.48,0.0,3,12
2023-12-29,3284937002,15946296.13,0.0,4,12
2023-12-30,0,16433519.32,0.0,5,12
2023-12-31,0,16920742.51,0.0,6,12
2024-01-01,0,17407965.7,0.0,0,1
2024-01-02,0,17895188.89,0.0,1,1
2024-01-03,18382412,18382412.08,0.0,2,1
2024-01-04,18382412,18382412.08,0.0,3,1
2024-01-05,49632512,16544170.69,0.0,4,1
2024-01-06,36764824,18382412.08,0.0,5,1
2024-01-07,0,17977999.01,0.0,6,1
2024-01-08,0,17573585.95,0.0,0,1
2024-01-09,85845864,17169172.88,0.0,1,1
2024-01-10,15625050,15625050.0,1.0,2,1
2024-01-11,80882612,16176522.42,0.0,3,1
2024-01-12,1672068124,15626804.89,1.0,4,1
2024-01-13,18382412,18382412.08,0.0,5,1
2024-01-14,2343757501,15625050.01,1.0,6,1
2024-01-15,248162560,16544170.69,0.0,0,1
2024-01-16,2711969066,15952759.21,0.0,1,1
2024-01-17,2603325064,16069907.8,0.0,2,1
2024-01-18,2634199622,15773650.43,0.0,3,1
2024-01-19,2235301283,15741558.33,1.0,4,1
2024-01-20,399817459,16659060.78,0.0,5,1
2024-01-21,0,16241547.84,0.0,6,1
2024-01-22,1534931386,15824034.91,0.0,0,1
2024-01-23,831991907,15999844.36,0.0,1,1
2024-01-24,1488056240,15830385.53,0.0,2,1
2024-01-25,2675016470,15922717.09,0.0,3,1
2024-01-26,3147632226,15738161.13,1.0,4,1
2024-01-27,2557369034,15884279.71,0.0,5,1
2024-01-28,1062691176,15627811.42,1.0,6,1
2024-01-29,1998168175,16114259.48,0.0,0,1
2024-01-30,438420528,18267522.0,0.0,1,1
2024-01-31,4826529479,15721594.39,1.0,2,1
2024-02-01,73529648,18382412.08,0.0,3,2
2024-02-02,937503001,15625050.02,1.0,4,2
2024-02-03,36764824,18382412.08,0.0,5,2
2024-02-04,0,17082512.87,0.0,6,2
2024-02-05,552391478,15782613.66,0.0,0,2
2024-02-06,143382812,15931423.56,0.0,1,2
2024-02-07,159007862,15900786.21,0.0,2,2
2024-02-08,109375350,15625050.0,1.0,3,2
2024-02-09,62500200,15625050.0,1.0,4,2
2024-02-10,34007462,17003731.04,0.0,5,2
2024-02-11,0,16477080.11,0.0,6,2
2024-02-12,829422317,15950429.18,0.0,0,2
2024-02-13,2516192430,15726202.68,1.0,1,2
2024-02-14,2590081828,15793181.88,0.0,2,2
2024-02-15,345589345,17279467.25,0.0,3,2
2024-02-16,4213080770,15720450.63,1.0,4,2
2024-02-17,2696887588,15771272.44,1.0,5,2
2024-02-18,0,15808244.97,0.0,6,2
2024-02-19,2661996540,15845217.5,0.0,0,2
2024-02-20,602943111,16295759.77,0.0,1,2
2024-02-21,120404798,17200685.48,0.0,2,2
2024-02-22,3795048925,15682020.35,1.0,3,2
2024-02-23,3561780069,15760088.8,0.0,4,2
2024-02-24,2251385895,15967275.85,0.0,5,2
2024-02-25,2671883562,15625050.07,1.0,6,2
2024-02-26,2381441456,16090820.65,0.0,0,2
2024-02-27,1096510873,17132982.39,0.0,1,2
2024-02-28,4311782476,15910636.44,0.0,2,2
2024-02-29,4386043474,16184662.27,0.0,3,2
2024-03-01,2006815794,15801699.17,0.0,4,3
2024-03-02,18382412,18382412.08,0.0,5,3
2024-03-03,0,17256001.31,0.0,6,3
2024-03-04,629054031,16129590.53,0.0,0,3
2024-03-05,2643390827,15641365.84,1.0,1,3
2024-03-06,1542659894,15741427.49,1.0,2,3
2024-03-07,4173726606,15631934.85,1.0,3,3
2024-03-08,2383651295,15785770.16,0.0,4,3
2024-03-09,2990274837,15655889.2,1.0,5,3
2024-03-10,0,15716656.83,0.0,6,3
2024-03-11,2303503970,15777424.45,1.0,0,3
2024-03-12,449449971,16646295.22,0.0,1,3
2024-03-13,2151577298,16177272.92,0.0,2,3
2024-03-14,2252764578,15977053.75,0.0,3,3
2024-03-15,2692475816,15931809.56,0.0,4,3
2024-03-16,2687696378,15903528.86,0.0,5,3
2024-03-17,1843755908,15625050.07,1.0,6,3
2024-03-18,1034929794,16692416.03,0.0,0,3
2024-03-19,2573181859,15883838.64,0.0,1,3
2024-03-20,3202779457,15777238.7,1.0,2,3
2024-03-21,1744866431,16461004.07,0.0,3,3
2024-03-22,3578508064,15904480.28,0.0,4,3
2024-03-23,3974129140,15708020.32,1.0,5,3
2024-03-24,0,15942969.46,0.0,6,3
2024-03-25,0,16177918.6,0.0,0,3
2024-03-26,459560297,16412867.74,0.0,1,3
2024-03-27,309743643,18220214.31,0.0,2,3
2024-03-28,0,17976917.66,0.0,3,3
2024-03-29,0,17733621.01,0.0,4,3
2024-03-30,0,17490324.35,0.0,5,3
2024-03-31,0,17247027.7,0.0,6,3
2024-04-01,34007462,17003731.04,0.0,0,4
